Company Name,NAIC Company Code,Insurance Product Name,Sub Type Of Insurance,Filing Type,Filing Status,SERFF Tracking Number,Page Number
Independent Health Association,95308,Medicare Advantage IHA,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131316522,17
Independent Health Association,95308,Member Application 44,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,NDPD-134506856,17
Independent Health Association,95308,Member Enrollment Application 44,H21.000 Health - Other,Approval Extended,Closed - APEXT Approval Extended,NDPD-133792782,17
Independent Health Association,95308,Model Changes Rider,HOrg02G.003C Large Group Only - HMO,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-134372198,18
Independent Health Association,95308,Rx Riders HMO,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131721280,18
Independent Health Benefits Corporation,47034,$100 Ambulance Rider,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132010782,18
Independent Health Benefits Corporation,47034,2019 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2019 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-131469301,18
Independent Health Benefits Corporation,47034,2019 Individual On-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2019 Exchange Medical Forms,Closed - APPR Approved,NDPD-131472473,18
Independent Health Benefits Corporation,47034,2019 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2019 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-131469340,18
Independent Health Benefits Corporation,47034,2019 Small Group On-Exchange Form Filing,H15G.003 Small Group Only,2019 Exchange Medical Forms,Closed - APPR Approved,NDPD-131502797,18
Independent Health Benefits Corporation,47034,2020 Article 43 (IHBC) Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132075960,18
Independent Health Benefits Corporation,47034,2020 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2020 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-131931038,18
Independent Health Benefits Corporation,47034,2020 Individual On-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2020 Exchange Medical Forms,Closed - APPR Approved,NDPD-131930456,18
Independent Health Benefits Corporation,47034,2020 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2020 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-131911605,18
Independent Health Benefits Corporation,47034,2020 Small Group On-Exchange Form Filing,H15G.003 Small Group Only,2020 Exchange Medical Forms,Closed - APPR Approved,NDPD-131911581,18
Independent Health Benefits Corporation,47034,2020-2021 Student Plans,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132291419,18
Independent Health Benefits Corporation,47034,2021 Article 43 (IHBC) Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132480646,18
Independent Health Benefits Corporation,47034,2021 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2021 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-132364768,18
Independent Health Benefits Corporation,47034,2021 Individual On-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2021 Exchange Medical Forms,Closed - APPR Approved,NDPD-132364790,18
Independent Health Benefits Corporation,47034,2021 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2021 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-132364686,18
Independent Health Benefits Corporation,47034,2021 Small Group On-Exchange Form Filing,H15G.003 Small Group Only,2021 Exchange Medical Forms,Closed - APPR Approved,NDPD-132364621,18
Independent Health Benefits Corporation,47034,2021-2022 Student Plans,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132719990,18
Independent Health Benefits Corporation,47034,2022 Article 43 (IHBC) Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132920377,18
Independent Health Benefits Corporation,47034,2022 Individual Both-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2022 Exchange Medical Forms,Closed - APPR Approved,NDPD-132816913,18
Independent Health Benefits Corporation,47034,2022 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2022 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-132816892,18
Independent Health Benefits Corporation,47034,2022 Small Group Both-Exchange Form Filing,H15G.003 Small Group Only,2022 Exchange Medical Forms,Closed - APPR Approved,NDPD-132816872,18
Independent Health Benefits Corporation,47034,2022 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2022 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-132816851,18
Independent Health Benefits Corporation,47034,2022-2023 Student Plans,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133161985,18
Independent Health Benefits Corporation,47034,2023 Article 43 (IHBC) Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133337119,18
Independent Health Benefits Corporation,47034,2023 Individual Both-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2023 Exchange Medical Forms,Closed - APPR Approved,NDPD-133245556,18
Independent Health Benefits Corporation,47034,2023 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2023 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-133245533,18
Independent Health Benefits Corporation,47034,2023 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2023 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-133245514,18
Independent Health Benefits Corporation,47034,2023-2024 Student Filing,H22.000 Student Health Insurance,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133577969,18
Independent Health Benefits Corporation,47034,2024 Article 43 (IHBC) Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133766490,18
Independent Health Benefits Corporation,47034,2024 Individual Both-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2024 Exchange Medical Forms,Closed - APPR Approved,NDPD-133642549,18
Independent Health Benefits Corporation,47034,2024 Individual Off-Exchange Form Filing,H15I.001 Health - Hospital/Surgical/Medical Expense,2024 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-133642570,18
Independent Health Benefits Corporation,47034,2024 Small Group Off-Exchange Form Filing,H15G.003 Small Group Only,2024 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-133642594,18
Independent Health Benefits Corporation,47034,2025 Article 43 (IHBC) Large Group Benefit Changes,H16G.002C Large Group Only - Other,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-134199799,18
Independent Health Benefits Corporation,47034,2025 Individual Both-Exchange Form Filing,H16I.005D Individual - EPO,2025 Exchange Medical Forms,Closed - APPR Approved,NDPD-134116508,18
Independent Health Benefits Corporation,47034,2025 Individual Off-Exchange Form Filing,H16I.005D Individual - EPO,2025 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-134116517,18
Independent Health Benefits Corporation,47034,2025 Small Group Off-Exchange Form Filing,H16G.003G Small Group Only - Other,2025 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-134116515,18
Independent Health Benefits Corporation,47034,2026 Individual Both-Exchange Form Filing,H16I.005D Individual - EPO,2026 Exchange Medical Forms,Closed - APPR Approved,NDPD-134504319,18
Independent Health Benefits Corporation,47034,2026 Individual Off-Exchange Form Filing,H16I.005D Individual - EPO,2026 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-134504323,18
Independent Health Benefits Corporation,47034,2026 Small Group Off-Exchange Form Filing,H16G.003G Small Group Only - Other,2026 Off Exchange Medical Forms,Closed - APPR Approved,NDPD-134504317,18
Independent Health Benefits Corporation,47034,Article 43 (IHBC) 2019 Large Group Benefit Changes,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131625792,18
Independent Health Benefits Corporation,47034,Canisius College Custom Riders,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131483964,18
Independent Health Benefits Corporation,47034,Choice Plus Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718995,18
Independent Health Benefits Corporation,47034,Choice Plus HSA Option B2,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133162082,18
Independent Health Benefits Corporation,47034,Custom iDirect 4 Series Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131816559,18
Independent Health Benefits Corporation,47034,Custom Rider II,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131816487,18
Independent Health Benefits Corporation,47034,Custom Riders I,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131816435,18
Independent Health Benefits Corporation,47034,Employer Group Application 43,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-134108376,18
Independent Health Benefits Corporation,47034,Employer Group Application 43,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133208980,18
Independent Health Benefits Corporation,47034,Employer Group Application 43,H21.000 Health - Other,Approval Extended,Closed - APEXT Approval Extended,NDPD-133793273,18
Independent Health Benefits Corporation,47034,Employer Services Corporation,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131433331,18
Independent Health Benefits Corporation,47034,Encompass Plus A11,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132297541,18
Independent Health Benefits Corporation,47034,Encompass Plus A11 PPO Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132465716,18
Independent Health Benefits Corporation,47034,Encompass Plus A12,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133312709,18
Independent Health Benefits Corporation,47034,Encompass Plus A12 PPO,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133789103,18
Independent Health Benefits Corporation,47034,Encompass Plus A13,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133703162,18
Independent Health Benefits Corporation,47034,Encompass Plus B Select,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131508578,18
Independent Health Benefits Corporation,47034,Encompass Plus C6,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133533611,18
Independent Health Benefits Corporation,47034,Encompass Plus D10 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131964436,18
Independent Health Benefits Corporation,47034,Encompass Plus D18,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133533659,18
Independent Health Benefits Corporation,47034,Encompass Plus D19,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133533623,18
Independent Health Benefits Corporation,47034,Encompass Plus D21,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133533662,18
Independent Health Benefits Corporation,47034,Encompass Plus D22,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133591854,18
Independent Health Benefits Corporation,47034,Encompass Plus D24,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133789089,18
Independent Health Benefits Corporation,47034,Encompass Plus D3 PPO,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131673745,18
Independent Health Benefits Corporation,47034,Encompass Plus D5 PPO,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131673425,18
Independent Health Benefits Corporation,47034,Enrollment Application,H15I.001 Health - Hospital/Surgical/Medical Expense,Normal Pre-Approval,Closed - APPR Approved,NDPD-131653943,18
Independent Health Benefits Corporation,47034,Enrollment Application 43,H15I.001 Health - Hospital/Surgical/Medical Expense,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132477341,18
Independent Health Benefits Corporation,47034,Exchange OON Make Available Rider,H15G.003 Small Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132631066,18
Independent Health Benefits Corporation,47034,FFS Benefit Changes Rider,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131811994,18
Independent Health Benefits Corporation,47034,FlexFit Select Option 5 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131963173,18
Independent Health Benefits Corporation,47034,FlexFit Select Option 6,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131508662,18
Independent Health Benefits Corporation,47034,FlexFit Select Option 6 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131962919,18
Independent Health Benefits Corporation,47034,iDirect 1 Series B Style Non-HSA Option 9,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133236196,18
Independent Health Benefits Corporation,47034,iDirect 1 Series C Style HSA option 18 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718518,18
Independent Health Benefits Corporation,47034,iDirect 1 Series C Style HSA Option 20,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132878342,18
Independent Health Benefits Corporation,47034,iDirect 1 Series C Style HSA Option 26,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133162090,18
Independent Health Benefits Corporation,47034,iDirect 1 Series C Style Non-HSA Option 19 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718834,18
Independent Health Benefits Corporation,47034,iDirect 1 Series C Style Non-HSA Option 22 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718733,18
Independent Health Benefits Corporation,47034,iDirect 1 Series Non-HSA $2000/$4000 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132286229,18
Independent Health Benefits Corporation,47034,iDirect 1 Series Option 9,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132321578,18
Independent Health Benefits Corporation,47034,iDirect 1 Series OV Copayment Rider,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131885227,18
Independent Health Benefits Corporation,47034,iDirect 1 Series Shared-Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131963481,18
Independent Health Benefits Corporation,47034,iDirect 3 Series HSA Option 28,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133312688,18
Independent Health Benefits Corporation,47034,iDirect 3 Series HSA Option 29,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133430707,18
Independent Health Benefits Corporation,47034,iDirect 4 Series HSA option 22 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718649,18
Independent Health Benefits Corporation,47034,iDirect 5 Series HSA Option 7,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133789124,18
Independent Health Benefits Corporation,47034,"iDirect 6 Series $2,500",H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131910462,18
Independent Health Benefits Corporation,47034,iDirect 6 Series Option 3,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132807892,18
Independent Health Benefits Corporation,47034,iDirect 6 Series Option 4,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133162055,18
Independent Health Benefits Corporation,47034,IHBC Large Group Rate Agreements,H21.000 Health - Other,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131723762,18
Independent Health Benefits Corporation,47034,IHBC LG Minimum Premium,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,NDPD-132928353,18
Independent Health Benefits Corporation,47034,IHBC On Exchange Community Rate Agreements,H21.000 Health - Other,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131441486,18
Independent Health Benefits Corporation,47034,IHBC Small Group Rate Agreements,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,NDPD-131881409,18
Independent Health Benefits Corporation,47034,IHBC Stop Loss Rider 2020,H12.004 Self-Funded Health Plan,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132423918,18
Independent Health Benefits Corporation,47034,IHBC Stop Loss Rider 2025,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,NDPD-134349919,18
Independent Health Benefits Corporation,47034,Large Group 43 Network Adequacy Model Language Rider,H16G.002C Large Group Only - Other,Normal Pre-Approval,Closed - APPR Approved,NDPD-134523185,18
Independent Health Benefits Corporation,47034,Large Group Article 43,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131399811,18
Independent Health Benefits Corporation,47034,Medicare Advantage,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133891199,18
Independent Health Benefits Corporation,47034,Medicare Advantage,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133466527,19
Independent Health Benefits Corporation,47034,Medicare Advantage,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-134306478,19
Independent Health Benefits Corporation,47034,Medicare Advantage,H17G.000 Health - Prescription Drug,Normal Pre-Approval,Closed - APPR Approved,NDPD-132617558,19
Independent Health Benefits Corporation,47034,Medicare Advantage,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-133110283,19
Independent Health Benefits Corporation,47034,Medicare Advantage IHBC,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-132115208,19
Independent Health Benefits Corporation,47034,Medicare Advantage IHBC,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131316502,19
Independent Health Benefits Corporation,47034,Member Application 43,H16I.005C Individual - Other,Normal Pre-Approval,Closed - APPR Approved,NDPD-134506853,19
Independent Health Benefits Corporation,47034,Member Enrollment Application 43,H21.000 Health - Other,Approval Extended,Closed - APEXT Approval Extended,NDPD-133781137,19
Independent Health Benefits Corporation,47034,Model Changes Rider,H16G.002C Large Group Only - Other,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-134372281,19
Independent Health Benefits Corporation,47034,Model Changes Rider,H16I.005D Individual - EPO,2025 Exchange Medical Forms,Closed - APPR Approved,NDPD-134372203,19
Independent Health Benefits Corporation,47034,Outpatient Surgical Facility Rider,H15G.002 Large Group Only,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131949390,19
Independent Health Benefits Corporation,47034,Passport Option 2 Bundled Rider,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132718953,19
Independent Health Benefits Corporation,47034,Passport Plan Select Option 23 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131963139,19
Independent Health Benefits Corporation,47034,Passport Plan Select Option 25 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-132716880,19
Independent Health Benefits Corporation,47034,Passport Plan Select Option 29,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133591864,19
Independent Health Benefits Corporation,47034,Passport Plan Select Option 30,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133789129,19
Independent Health Benefits Corporation,47034,Pharmacy Endorsement,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-134013071,19
Independent Health Benefits Corporation,47034,Rx Riders PPO,H17G.000 Health - Prescription Drug,Certification by Previously Approved Form,Closed - APPR Approved,NDPD-131721469,19
Independent Health Benefits Corporation,47034,Service Area Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-133140841,19
Independent Health Benefits Corporation,47034,Small Group and Individual Network Adequacy Model Language Rider,H16I.005D Individual - EPO,Normal Pre-Approval,Closed - APPR Approved,NDPD-134523219,19
Independent Health Benefits Corporation,47034,Stop Loss Rider,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,NDPD-131697314,19
Independent Health Benefits Corporation,47034,Traditional Option 7 Amendment,H15G.002 Large Group Only,Normal Pre-Approval,Closed - APPR Approved,NDPD-131963081,19
Ironshore Indemnity Inc.,23647,Employer Stop Loss Program,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,IRON-132233553,19
Ironshore Indemnity Inc.,23647,Provider Excess,H12.003 Provider,Normal Pre-Approval,Closed - APPR Approved,IRON-133696918,19
Ironshore Indemnity Inc.,23647,Provider Excess of Loss Program,H12.003 Provider,Normal Pre-Approval,Closed - APPR Approved,IRON-131382762,19
Ironshore Indemnity Inc.,23647,Stop Loss 2020 Enhancements,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,IRON-132422872,19
Ironshore Indemnity Inc.,23647,Stop Loss Form and Rate Update,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,IRON-132130995,19
Ironshore Indemnity Inc.,23647,Stop Loss Form and Rate Update,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,IRON-133036024,19
Jefferson Insurance Company,11630,JIC 2017 Annual AH,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,WDAS-131338550,19
Jefferson Insurance Company,11630,JIC 2017 Booking Path,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,WDAS-131428234,19
Jefferson Insurance Company,11630,JIC 2017 Retail,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,WDAS-131463449,19
Jefferson Insurance Company,11630,JIC 2017 Travel,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,WDAS-132406393,19
Jefferson Insurance Company,11630,JIC 2019 Travel Amendment,H19I.000 Health - Travel,Normal Pre-Approval,Closed - APPR Approved,WDAS-131940850,19
Jefferson Insurance Company,11630,JIC Travel (AH),H19I.000 Health - Travel,Filed for Reference,Closed - FIREF Filed for Reference Purposes,WDAS-131568586,19
John Hancock Life & Health Insurance Company,93610,2020 REINSTATEMENT APPLICATION AND HIPAA FORM-JH,LTC05I.001 Qualified,Normal Pre-Approval,Closed - APPR Approved,MULF-132780033,19
John Hancock Life Insurance Company of New York,86375,PS5160NY (10/2018),H11I.004 Other,Certification by Checklist,Closed - APPR Approved,MANU-132419225,19
Knights of Columbus,58033,DI Application - Electronic,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,KOCO-132851044,19
Knights of Columbus,58033,"LTC01, NHC01",LTC05I.001 Qualified,Normal Pre-Approval,Closed - APPR Approved,TRIP-133654197,19
Liberty Insurance Underwriters Inc.,19917,Accidental Death and Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Normal Pre-Approval,Closed - APPR Approved,CLTR-131867400,19
Liberty Insurance Underwriters Inc.,19917,Excess Stop Loss,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,LINU-132158728,19
Liberty Insurance Underwriters Inc.,19917,Group Critical Illness Insurance,H07G.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,MMTA-131765102,19
Liberty Insurance Underwriters Inc.,19917,Group Hospital Indemnity Insurance,H14G.000 Health - Hospital Indemnity,Normal Pre-Approval,Closed - APPR Approved,MMTA-131963461,19
Liberty Insurance Underwriters Inc.,19917,Group Master Application,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,LBPM-132450897,19
Liberty Insurance Underwriters Inc.,19917,ICI LIUI 2.0,H07I.001 Critical Illness,Normal Pre-Approval,Closed - APPR Approved,LBPM-131772292,19
Liberty Insurance Underwriters Inc.,19917,PACC LIUI,H02I.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,LBPM-131407961,19
Liberty Insurance Underwriters Inc.,19917,Personal Accident Insurance,H02I.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,LBPM-132235858,19
Liberty Insurance Underwriters Inc.,19917,"Stop Loss 2024 Rate, Form & DOV Update",H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,MRTN-134039452,19
Liberty Insurance Underwriters Inc.,19917,Stop Loss Form and Rate Update,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,LINU-132966739,19
Liberty Insurance Underwriters Inc.,19917,Stop Loss Form and Rate Update,H12.004 Self-Funded Health Plan,Normal Pre-Approval,Closed - APPR Approved,LINU-132020243,19
Liberty Life Assurance Company of Boston,65315,Group Accidental Death & Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Filed for Reference,Closed - FIREF Filed for Reference Purposes,JEPT-131980779,19
Liberty Life Assurance Company of Boston,65315,Group Application,H11G.005 Combined Short Term and Long Term,Normal Pre-Approval,Closed - APPR Approved,LMGM-131682778,19
Liberty Life Assurance Company of Boston,65315,Name Change Endorsement - GRP,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,JEPT-132037756,19
Liberty Life Assurance Company of Boston,65315,NYPFL-19-STL and RID,H11G.004 Other,Normal Pre-Approval,Closed - APPR Approved,LMGM-131667032,19
Life Insurance Company of Boston & New York,78140,Individual Health,H11I.004 Other,Normal Pre-Approval,Closed - APPR Approved,PERR-133117389,19
Lincoln Life & Annuity Company of New York,62057,END-7065-GRP-H,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,CRCP-131783711,19
Lincoln Life & Annuity Company of New York,62057,END-7065-IND-H,H21.000 Health - Other,Normal Pre-Approval,Closed - APPR Approved,CRCP-131783667,19
Lincoln Life & Annuity Company of New York,62057,Group Accident,H02G.000 Health - Accident Only,Filed for Reference,Closed - FIREF Filed for Reference Purposes,JEPT-133478283,19
Lincoln Life & Annuity Company of New York,62057,Group Accident,H02G.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,JEPT-133510771,19
Lincoln Life & Annuity Company of New York,62057,Group Accident,H02G.000 Health - Accident Only,Normal Pre-Approval,Closed - APPR Approved,JEPT-134263505,19
Lincoln Life & Annuity Company of New York,62057,Group Accident Only,H02G.000 Health - Accident Only,Filed for Reference,Closed - FIREF Filed for Reference Purposes,JEPT-134041715,19
Lincoln Life & Annuity Company of New York,62057,Group Accident Only,H02G.000 Health - Accident Only,Filed for Reference,Closed - FIREF Filed for Reference Purposes,JEPT-134342870,19
Lincoln Life & Annuity Company of New York,62057,Group Accidental Death & Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Normal Pre-Approval,Closed - APPR Approved,JEPT-131584290,19
Lincoln Life & Annuity Company of New York,62057,Group Accidental Death & Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Normal Pre-Approval,Closed - APPR Approved,JEPT-132202299,19
Lincoln Life & Annuity Company of New York,62057,Group Accidental Death & Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Normal Pre-Approval,Closed - APPR Approved,JEPT-131922676,19
Lincoln Life & Annuity Company of New York,62057,Group Accidental Death and Dismemberment,H03G.000 Health - Accidental Death & Dismemberment,Normal Pre-Approval,Closed - APPR Approved,JEPT-133510754,19
Lincoln Life & Annuity Company of New York,62057,Group Critical Illness,H07G.001 Critical Illness,Filed for Reference,Closed - FIREF Filed for Reference Purposes,JEPT-133478278,19
Lincoln Life & Annuity Company of New York,62057,Group Dental,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,JEPT-134516350,19
Lincoln Life & Annuity Company of New York,62057,Group Dental,H10G.000 Health - Dental,Normal Pre-Approval,Closed - APPR Approved,JEPT-134516802,19
